scenario,Category indicator (units),$,DALY,species.yr
"Recycling, graphite anode",A1-G,1.91E-02,1.17E-05,6.59E-08
"Recycling, graphite anode",A2-G,1.79E-02,1.10E-05,6.41E-08
"Recycling, graphite anode",A3-G,1.88E-02,1.16E-05,6.57E-08
"Recycling, graphite anode",A4-G,1.94E-02,1.18E-05,6.71E-08
"Recycling, silicon anode",A1-S,1.78E-02,1.10E-05,6.29E-08
"Recycling, silicon anode",A2-S,1.67E-02,1.03E-05,6.12E-08
"Recycling, silicon anode",A3-S,1.76E-02,1.09E-05,6.27E-08
"Recycling, silicon anode",A4-S,1.50E-02,1.00E-05,6.05E-08
"Recycling, graphite anode",B1-G,1.76E-02,1.07E-05,6.28E-08
"Recycling, graphite anode",B2-G,1.65E-02,1.00E-05,6.10E-08
"Recycling, graphite anode",B3-G,1.74E-02,1.06E-05,6.25E-08
"Recycling, graphite anode",B4-G,1.82E-02,1.10E-05,6.41E-08
"Recycling, silicon anode",B1-S,1.63E-02,1.01E-05,6.02E-08
"Recycling, silicon anode",B2-S,1.56E-02,9.64E-06,5.89E-08
"Recycling, silicon anode",B3-S,1.61E-02,1.00E-05,6.00E-08
"Recycling, silicon anode",B4-S,1.71E-02,1.05E-05,6.21E-08
"Recycling, graphite anode",C1-G,1.64E-02,9.83E-06,6.00E-08
"Recycling, graphite anode",C2-G,1.52E-02,9.11E-06,5.79E-08
"Recycling, graphite anode",C3-G,1.62E-02,9.71E-06,5.97E-08
"Recycling, graphite anode",C4-G,1.70E-02,1.01E-05,6.11E-08
"Recycling, silicon anode",C1-S,1.57E-02,9.66E-06,5.86E-08
"Recycling, silicon anode",C2-S,1.45E-02,8.95E-06,5.67E-08
"Recycling, silicon anode",C3-S,1.55E-02,9.58E-06,5.84E-08
"Recycling, silicon anode",C4-S,1.56E-02,9.78E-06,5.94E-08
Repurpose,5,3.95E-03,-1.45E-06,3.61E-08
Repurpose,6,2.81E-03,-1.79E-06,3.50E-08
Repurpose,7,2.81E-03,-1.62E-06,3.48E-08
